t;id;i;iso3;country;Out-degree;In-degree;Out-strength;In-strength;Out-degree_percent;In-degree percent;Out-strength-percent;In-strength_percent;Out-closenness;In-closenness;W-Out-closenness;W-In-closenness;Out-eigenvector;In-eigenvector;W-Out-eigenvector;W-In-eigenvector
1999;18;48;BHR;Bahrain;0.5028248;0.3954802;11528.22;11761.69;0.4577483;0.3600267;0.0366804;0.0374232;0.6679245;0.6232395;0.4728071;0.3749841;0.0626365;0.0523643;0.0010974;0.0016453
1998;18;48;BHR;Bahrain;0.4745763;0.4237288;11258.76;13028.97;0.4391239;0.3920749;0.0371448;0.0429851;0.6555555;0.6344086;0.500774;0.3521536;0.061482;0.0565237;0.0010975;0.0017644
1997;18;48;BHR;Bahrain;0.440678;0.4124294;9769.573;10445.8;0.4168448;0.390124;0.0319619;0.0341742;0.6413044;0.6298932;0.4861285;0.3312925;0.0588752;0.0561473;0.0012688;0.0017999
1996;18;48;BHR;Bahrain;0.3785311;0.3446328;9939.206;9509.872;0.375098;0.3415071;0.0337499;0.032292;0.6167247;0.6040956;0.4806828;0.2808774;0.0542185;0.0509779;0.0014073;0.001459
1995;18;48;BHR;Bahrain;0.3276836;0.3502825;8855.127;9340.632;0.3460621;0.3699284;0.031789;0.033532;0.597973;0.6061644;0.3850673;0.2563069;0.0513762;0.0551776;0.0014446;0.0014643
2010;19;70;BIH;Bosnia and herzegowina;0.7514125;0.8079096;27952.04;51796.35;0.6110448;0.656988;0.0337693;0.062576;0.800905;0.8388625;0.5131851;0.2965153;0.0799799;0.083626;0.0007014;0.0016978
2009;19;70;BIH;Bosnia and herzegowina;0.7231638;0.8248588;22929.63;47858.94;0.6003189;0.6847388;0.033949;0.0708586;0.7831858;0.8509616;0.5029141;0.382864;0.0776602;0.0861956;0.0007857;0.0019621
2008;19;70;BIH;Bosnia and herzegowina;0.6723164;0.8474576;30011.59;69115.82;0.537999;0.6781501;0.0338472;0.0779492;0.7531915;0.8676471;0.4653935;0.3452769;0.0719411;0.085672;0.0008361;0.002284
2007;19;70;BIH;Bosnia and herzegowina;0.6553673;0.819209;25576.31;55035.24;0.5272248;0.659031;0.0337127;0.0725432;0.7436975;0.84689;0.4597557;0.3488647;0.0714412;0.0840464;0.0007875;0.00184
2006;19;70;BIH;Bosnia and herzegowina;0.6779661;0.8022599;21970.54;42453.77;0.5531229;0.6545287;0.0332939;0.064334;0.7564102;0.8349057;0.42706;0.3838492;0.0739718;0.082854;0.0008658;0.0014325
2005;19;70;BIH;Bosnia and herzegowina;0.6271186;0.8022599;18400.66;44017.32;0.5109556;0.6536549;0.0320573;0.0766861;0.728395;0.8349057;0.4479511;0.4220393;0.0698806;0.0827465;0.0007784;0.0015315
2004;19;70;BIH;Bosnia and herzegowina;0.6158192;0.7966102;11566.37;30328.61;0.5136906;0.6644988;0.0227424;0.0596337;0.722449;0.8309859;0.385845;0.4141653;0.0692398;0.0839107;0.0004793;0.0012031
2003;19;70;BIH;Bosnia and herzegowina;0.6045198;0.7062147;8056.395;20424.44;0.5061016;0.5912402;0.0194066;0.0491994;0.7165992;0.7729257;0.4254682;0.3722295;0.067534;0.0769175;0.0004979;0.0009861
2002;19;70;BIH;Bosnia and herzegowina;0.4350283;0.4067796;6148.695;18701.43;0.3696769;0.3456719;0.0172425;0.0524435;0.6389892;0.6276596;0.4126608;0.3643244;0.0539799;0.0500549;0.0003421;0.0007059
2001;19;70;BIH;Bosnia and herzegowina;0.4237288;0.3954802;5107.203;15668.98;0.3646618;0.340351;0.0148762;0.0456405;0.6344086;0.6232395;0.3676077;0.3226943;0.0527528;0.0490387;0.000308;0.0006592
2000;19;70;BIH;Bosnia and herzegowina;0.4124294;0.3615819;4856.48;14747;0.3617981;0.3171929;0.0137128;0.0416397;0.6298932;0.6103448;0.3360792;0.3214501;0.0529936;0.0463639;0.0002434;0.0005492
1999;19;70;BIH;Bosnia and herzegowina;0.3672316;0.3502825;4510.603;14816.23;0.3343106;0.3188808;0.0143518;0.0471422;0.6124567;0.6061644;0.3464387;0.3528503;0.0502329;0.0466379;0.0002574;0.0007031
1998;19;70;BIH;Bosnia and herzegowina;0.3615819;0.3446328;3900.572;14123.36;0.3345706;0.3188876;0.0128688;0.0465957;0.6103448;0.6040956;0.2848573;0.3564691;0.0497326;0.046713;0.0002317;0.000772
1997;19;70;BIH;Bosnia and herzegowina;0.3163842;0.3276836;3851.533;14545.14;0.2992732;0.3099615;0.0126006;0.0475855;0.5939597;0.597973;0.3324316;0.3545346;0.0452857;0.0459;0.0001716;0.000844
1996;19;70;BIH;Bosnia and herzegowina;0.2768362;0.2881356;2288.273;11952.79;0.2743254;0.2855223;0.0077701;0.0405872;0.5803279;0.5841584;0.2641391;0.3304752;0.0418894;0.0430254;0.0000995;0.0006714
1995;19;70;BIH;Bosnia and herzegowina;0.2033898;0.2146893;312.9496;4491.915;0.2147971;0.2267303;0.0011235;0.0161255;0.5566038;0.5601266;0.0500125;0.2867952;0.0338534;0.0347523;0.0000379;0.0002455
2010;20;112;BLR;Belarus;0.8531073;0.740113;140936.3;185799;0.6937425;0.6018561;0.1702673;0.2244666;0.8719212;0.793722;0.9067102;0.3668606;0.0873049;0.078815;0.0037047;0.0059758
2009;20;112;BLR;Belarus;0.7853107;0.779661;124783.3;151491.5;0.6519088;0.6472188;0.1847507;0.2242941;0.8232558;0.8194444;0.8870211;0.4831394;0.0832294;0.0822829;0.0045578;0.0061364
2008;20;112;BLR;Belarus;0.7627119;0.779661;186734.2;211597;0.610335;0.623898;0.2105999;0.2386402;0.8082192;0.8194444;0.8235959;0.4037459;0.0800116;0.0802697;0.005407;0.0073486
2007;20;112;BLR;Belarus;0.7909604;0.7457627;136922.2;152806.6;0.6363058;0.5999455;0.1804802;0.2014178;0.8271028;0.7972973;0.7949858;0.4115185;0.0820095;0.0779767;0.0046734;0.0052654
2006;20;112;BLR;Belarus;0.7570621;0.7683616;111738.8;118514.9;0.6176538;0.6268726;0.1693278;0.1795963;0.8045455;0.8119266;0.7319343;0.4738726;0.0806844;0.0806658;0.0044922;0.0039004
2005;20;112;BLR;Belarus;0.7627119;0.740113;90028.07;87690.68;0.6214325;0.6030197;0.1568451;0.152773;0.8082192;0.793722;0.7674538;0.5156335;0.0810861;0.0783973;0.003971;0.00285
2004;20;112;BLR;Belarus;0.7514125;0.7288136;77314.42;85325.01;0.6267967;0.6079457;0.1520198;0.1677706;0.800905;0.7866667;0.6775705;0.5175167;0.0814077;0.0786503;0.0033854;0.0027457
2003;20;112;BLR;Belarus;0.7514125;0.6836158;56627.9;60507.88;0.6290796;0.5723205;0.1364081;0.1457544;0.800905;0.7596567;0.7277583;0.4564329;0.0816499;0.0752615;0.0027682;0.0022697
2002;20;112;BLR;Belarus;0.7231638;0.6892655;45218.6;47040.45;0.6145278;0.5857219;0.1268044;0.1319133;0.7831858;0.762931;0.6865247;0.4453413;0.0801626;0.0759018;0.002134;0.0016877
2001;20;112;BLR;Belarus;0.7118644;0.6497175;42769.69;45181.02;0.6126319;0.5591481;0.1245793;0.131603;0.7763158;0.7405857;0.6367456;0.4017914;0.0794616;0.0733429;0.0016397;0.001645
2000;20;112;BLR;Belarus;0.7175141;0.6836158;42233.61;45391.61;0.6294296;0.5996927;0.119251;0.128168;0.7797357;0.7596567;0.5752468;0.4211481;0.0816083;0.0765806;0.0014148;0.0013255
1999;20;112;BLR;Belarus;0.6723164;0.6440678;33306.11;35710.34;0.6120455;0.5863293;0.1059731;0.1136229;0.7531915;0.7375;0.7251142;0.4437333;0.0795727;0.0751866;0.0013198;0.0015279
1998;20;112;BLR;Belarus;0.6779661;0.6836158;40543.46;45613.61;0.6273198;0.6325474;0.1337608;0.1504883;0.7564102;0.7596567;0.7060673;0.4321152;0.0808307;0.0793425;0.0016552;0.0022375
1997;20;112;BLR;Belarus;0.4180791;0.3333333;11052.13;29611.4;0.3954681;0.3153057;0.0361579;0.096876;0.6321428;0.6;0.4646529;0.4179275;0.0569127;0.0466986;0.0006695;0.0014634
1996;20;112;BLR;Belarus;0.3954802;0.3163842;9382.797;16413.84;0.3918934;0.3135147;0.0318605;0.0557353;0.6232395;0.5939597;0.453922;0.3575044;0.0566189;0.0464066;0.0006679;0.0011928
1995;20;112;BLR;Belarus;0.3446328;0.2824859;8447.277;11187.17;0.3639618;0.2983294;0.0303249;0.0401608;0.6040956;0.5822368;0.404516;0.3230622;0.0547992;0.0452536;0.00095;0.0012463
2010;21;58;BLX;Belgium-Luxembourg;0.9943503;0.9887006;1863280;2206650;0.8086006;0.8040062;2.251056;2.665887;0.994382;0.9888268;0.9762614;0.3731101;0.0959097;0.0964881;0.0917578;0.1273037
2009;21;58;BLX;Belgium-Luxembourg;1;0.9830508;1657919;1986696;0.8301285;0.8160586;2.454669;2.941447;1;0.9833333;0.96948;0.4943512;0.0973263;0.0974486;0.108518;0.154582
2008;21;58;BLX;Belgium-Luxembourg;0.9943503;0.9717514;2177508;2635561;0.795696;0.777612;2.455805;2.9724;0.994382;0.9725274;0.8790635;0.410037;0.0952708;0.0945191;0.113637;0.1639719
2007;21;58;BLX;Belgium-Luxembourg;0.9943503;0.9717514;1970751;2351035;0.7999273;0.7817472;2.597691;3.098952;0.994382;0.9725274;0.8508197;0.4194126;0.0956601;0.0954309;0.1122722;0.1547015
2006;21;58;BLX;Belgium-Luxembourg;1;0.9661017;1704427;2023007;0.8158562;0.7882001;2.58287;3.065644;1;0.9672131;0.7845297;0.4867205;0.0965222;0.0957564;0.109207;0.1410391
2005;21;58;BLX;Belgium-Luxembourg;0.9943503;0.9774011;1525103;1810894;0.8101639;0.7963543;2.657005;3.154903;0.994382;0.9779006;0.8298067;0.5336419;0.0962568;0.0964447;0.1114906;0.1382906
2004;21;58;BLX;Belgium-Luxembourg;0.9943503;0.9717514;1384699;1623596;0.8294453;0.8105943;2.72267;3.192402;0.994382;0.9725274;0.7216976;0.5332996;0.0976806;0.0977146;0.11713;0.1440822
2003;21;58;BLX;Belgium-Luxembourg;1;0.960452;1130764;1337812;0.8371961;0.8040867;2.72384;3.222589;1;0.9619565;0.7836421;0.4710546;0.0981936;0.0973651;0.1108868;0.134607
2002;21;58;BLX;Belgium-Luxembourg;1;0.9830508;961004.6;1137689;0.8497767;0.8353737;2.6949;3.190368;1;0.9833333;0.7360212;0.4613188;0.0991642;0.0995388;0.1003078;0.1178024
2001;21;58;BLX;Belgium-Luxembourg;1;0.9548023;879406.2;1006383;0.860602;0.8217047;2.561529;2.931386;1;0.9567568;0.6747674;0.4150591;0.0998704;0.098868;0.0909291;0.107618
2000;21;58;BLX;Belgium-Luxembourg;1;0.960452;857161.8;991788.8;0.8772365;0.8425435;2.420286;2.800419;1;0.9619565;0.6080709;0.4399115;0.1010728;0.100075;0.0760928;0.09769
1999;21;58;BLX;Belgium-Luxembourg;1;0.9774011;843147.3;958390.4;0.9103534;0.8897804;2.682719;3.049399;1;0.9779006;0.7903676;0.4702249;0.103036;0.1032898;0.0921361;0.1169076
1998;21;58;BLX;Belgium-Luxembourg;1;0.9774011;862827.9;940815.9;0.9252967;0.904386;2.846639;3.103936;1;0.9779006;0.7529308;0.4497142;0.1038442;0.1038531;0.1072265;0.1305255
1997;21;58;BLX;Belgium-Luxembourg;1;0.9830508;848010.4;896933.5;0.9459171;0.9298846;2.774331;2.934386;1;0.9833333;0.7685717;0.4480645;0.1054266;0.1058252;0.1013238;0.1228121
1996;21;58;BLX;Belgium-Luxembourg;1;0.9378531;850407.4;882346.8;0.9909305;0.9293472;2.887668;2.996122;1;0.9414893;0.7386967;0.4283433;0.1079121;0.1059864;0.115712;0.1343043
1995;21;58;BLX;Belgium-Luxembourg;1;0.9661017;857750.4;848043.3;1.056086;1.020286;3.079241;3.044393;1;0.9672131;0.5760089;0.3802325;0.1118244;0.1113442;0.1229854;0.1373837
2010;22;84;BLZ;Belize;0.519774;0.5649717;2190.137;4714.631;0.4226776;0.4594321;0.0026459;0.0056958;0.6755725;0.6968504;0.1687308;0.2105468;0.0578904;0.0614657;0.0001364;0.0004942
2009;22;84;BLZ;Belize;0.4180791;0.440678;10261.88;6533.412;0.3470594;0.3658193;0.0151935;0.0096732;0.6321428;0.6413044;0.7057911;0.321554;0.0494769;0.0525354;0.0002058;0.0004424
2008;22;84;BLZ;Belize;0.5423729;0.5819209;13380.47;6261.09;0.434016;0.465663;0.0150906;0.0070613;0.6860465;0.7051793;0.6687614;0.2057672;0.0583652;0.0622594;0.0002827;0.0004463
2007;22;84;BLZ;Belize;0.5706215;0.5423729;2574.664;4104.494;0.4590492;0.436324;0.0033937;0.0054102;0.6996047;0.6860465;0.1531908;0.1893395;0.061328;0.0590604;0.0001436;0.0003699
2006;22;84;BLZ;Belize;0.5423729;0.5254237;2630.617;3762.807;0.4424983;0.4286702;0.0039864;0.0057021;0.6860465;0.6781609;0.2028258;0.2198861;0.0595943;0.0582272;0.0001987;0.0004114
2005;22;84;BLZ;Belize;0.5536723;0.5084746;1976.595;3993.831;0.451114;0.4142883;0.0034436;0.006958;0.6914063;0.6704546;0.2118784;0.2325023;0.0610021;0.0567451;0.0001964;0.0004411
2004;22;84;BLZ;Belize;0.4971751;0.5141243;1795.125;3042.006;0.4147227;0.4288609;0.0035297;0.0059814;0.6654136;0.6730038;0.2252668;0.2241604;0.05568;0.0589531;0.0002205;0.0003987
2003;22;84;BLZ;Belize;0.5649717;0.5536723;1622.446;2894.456;0.4729922;0.4635323;0.0039082;0.0069723;0.6968504;0.6914063;0.2582201;0.256736;0.0624197;0.0615664;0.0002567;0.0005336
2002;22;84;BLZ;Belize;0.4293785;0.5141243;906.3843;2803.859;0.3648759;0.4368909;0.0025417;0.0078627;0.6366907;0.6730038;0.1614228;0.2600304;0.0499515;0.0590095;0.000157;0.0005685
2001;22;84;BLZ;Belize;0.4689265;0.5254237;1290.243;2943.841;0.4035591;0.4521807;0.0037582;0.0085748;0.6531366;0.6781609;0.1973172;0.2593793;0.0543587;0.0608728;0.0002353;0.0006175
2000;22;84;BLZ;Belize;0.4745763;0.4915254;1972.44;3040.131;0.4163156;0.431184;0.0055694;0.0085841;0.6555555;0.6629214;0.2423105;0.2854914;0.0562858;0.0579711;0.0003414;0.000683
1999;22;84;BLZ;Belize;0.4689265;0.5367231;2264.512;2440.323;0.4268888;0.4886077;0.0072052;0.0077646;0.6531366;0.6833977;0.2044672;0.212862;0.0550856;0.0648979;0.0003409;0.0003479
1998;22;84;BLZ;Belize;0.4350283;0.4689265;1761.205;2187.971;0.4025302;0.4338962;0.0058106;0.0072185;0.6389892;0.6531366;0.2085963;0.2572416;0.0535547;0.058164;0.0003275;0.0005373
1997;22;84;BLZ;Belize;0.440678;0.4350283;1716.568;2444.481;0.4168448;0.4115006;0.0056159;0.0079973;0.6413044;0.6389892;0.2687962;0.2534092;0.0552597;0.0566357;0.0004082;0.0005623
1996;22;84;BLZ;Belize;0.3841808;0.440678;1603.816;2209.912;0.3806964;0.4366812;0.005446;0.007504;0.6188811;0.6413044;0.2350976;0.2358228;0.049972;0.0591775;0.0003812;0.0004974
1995;22;84;BLZ;Belize;0.3615819;0.4180791;1452.114;2078.429;0.3818616;0.4415275;0.0052129;0.0074614;0.6103448;0.6321428;0.1887054;0.2217168;0.0507317;0.060455;0.0003378;0.000529
2010;23;60;BMU;Bermuda;0.3276836;0.5932204;4256.94;23455.89;0.2664706;0.4824038;0.0051429;0.0283374;0.597973;0.7108434;0.4500658;0.3194684;0.0381446;0.0638983;0.0001143;0.001891
2009;23;60;BMU;Bermuda;0.3050847;0.3785311;1014.491;11510.17;0.2532595;0.3142294;0.001502;0.0170416;0.59;0.6167247;0.0918528;0.360678;0.0368637;0.0456389;0.0000553;0.0011208
2008;23;60;BMU;Bermuda;0.3672316;0.4011299;1958.027;22973.43;0.293865;0.320991;0.0022083;0.0259096;0.6124567;0.6254417;0.122434;0.3349796;0.0418791;0.045829;0.0000855;0.0016853
2007;23;60;BMU;Bermuda;0.3276836;0.3954802;1279.542;22705.78;0.2636124;0.3181529;0.0016866;0.029929;0.597973;0.6232395;0.1005959;0.3654415;0.0383221;0.0451601;0.0000671;0.0017972
2006;23;60;BMU;Bermuda;0.3276836;0.3954802;2671.323;23663.47;0.2673427;0.322655;0.0040481;0.0358594;0.597973;0.6232395;0.3155175;0.3969765;0.0378754;0.04599;0.0000785;0.0019839
2005;23;60;BMU;Bermuda;0.3107345;0.3954802;2226.759;10930.22;0.2531762;0.3222243;0.0038794;0.0190424;0.5919732;0.6232395;0.3087371;0.3886072;0.0370983;0.0458824;0.0000841;0.001209
2004;23;60;BMU;Bermuda;0.3276836;0.4067796;835.3011;16715.77;0.2733399;0.3393185;0.0016424;0.0328674;0.597973;0.6276596;0.0811238;0.4454258;0.038892;0.0483129;0.0000403;0.0019918
2003;23;60;BMU;Bermuda;0.3559322;0.4011299;1960.004;20335.41;0.2979851;0.3358244;0.0047214;0.048985;0.6082474;0.6254417;0.3268107;0.4181319;0.0426125;0.0482101;0.0000667;0.0012999
2002;23;60;BMU;Bermuda;0.3276836;0.3785311;820.8898;24180.68;0.2784579;0.3216669;0.002302;0.0678087;0.597973;0.6167247;0.099829;0.4149615;0.0399013;0.0461241;0.000053;0.0019635
2001;23;60;BMU;Bermuda;0.3615819;0.3785311;1306.265;18164.41;0.3111781;0.3257646;0.0038049;0.0529092;0.6103448;0.6167247;0.188306;0.3630284;0.0447051;0.0472251;0.0000663;0.0017763
2000;23;60;BMU;Bermuda;0.3615819;0.4124294;947.1891;19288.15;0.3171929;0.3617981;0.0026745;0.0544621;0.6103448;0.6298932;0.1320697;0.3740823;0.0449621;0.0508054;0.0000576;0.0020097
1999;23;60;BMU;Bermuda;0.3050847;0.3728814;791.7765;7673.839;0.2777349;0.3394538;0.0025193;0.0244166;0.59;0.6145833;0.0912745;0.3292577;0.0389927;0.0483464;0.000064;0.001296
1998;23;60;BMU;Bermuda;0.3389831;0.3728814;793.2776;6080.631;0.3136599;0.3450259;0.0026172;0.0200612;0.6020408;0.6145833;0.1132604;0.3341642;0.0440996;0.0502005;0.0000559;0.0013366
1997;23;60;BMU;Bermuda;0.3050847;0.5706215;1442.853;8137.552;0.2885849;0.5397606;0.0047204;0.0266226;0.59;0.6996047;0.2262996;0.3510518;0.0420211;0.069327;0.0000859;0.0016435
1996;23;60;BMU;Bermuda;0.3446328;0.3446328;1272.235;5258.421;0.3415071;0.3415071;0.00432;0.0178556;0.6040956;0.6040956;0.2225685;0.2829037;0.0483485;0.0499052;0.0000915;0.0008677
1995;23;60;BMU;Bermuda;0.2824859;0.6158192;1287.702;5804.092;0.2983294;0.650358;0.0046227;0.0208361;0.5822368;0.722449;0.1742663;0.3091048;0.0435584;0.0790287;0.0000847;0.0016199
2010;24;68;BOL;Bolivia;0.6327683;0.7175141;38674.71;34325.17;0.514564;0.5834788;0.0467235;0.0414688;0.731405;0.7797357;0.7643077;0.3007137;0.0685824;0.0761534;0.0017492;0.0017189
2009;24;68;BOL;Bolivia;0.6610169;0.6327683;30197.62;25845.16;0.548729;0.525279;0.0447098;0.0382656;0.7468355;0.731405;0.727026;0.3741694;0.0732498;0.0695863;0.0016905;0.0016422
2008;24;68;BOL;Bolivia;0.59887;0.6779661;39785.34;29518.14;0.479226;0.54252;0.0448701;0.0332907;0.7137097;0.7564102;0.7227082;0.3219053;0.0664444;0.0715588;0.0015582;0.0013751
2007;24;68;BOL;Bolivia;0.5875706;0.6440678;27433.66;19995.29;0.4726843;0.5181347;0.0361609;0.0263562;0.708;0.7375;0.6512102;0.317328;0.0654526;0.0682837;0.001234;0.0010225
2006;24;68;BOL;Bolivia;0.6101695;0.5762712;24011.28;16470.46;0.4978105;0.4701544;0.0363864;0.0249592;0.7195122;0.702381;0.6156703;0.3469785;0.0672982;0.0640621;0.0011637;0.0009093
2005;24;68;BOL;Bolivia;0.59887;0.5932204;15618.02;13957.64;0.4879396;0.4833364;0.0272094;0.0243167;0.7137097;0.7108434;0.5974913;0.3682122;0.0665573;0.0655076;0.0008541;0.0009202
2004;24;68;BOL;Bolivia;0.5706215;0.6327683;13193.58;11275.92;0.4759885;0.5278288;0.0259419;0.0221713;0.6996047;0.731405;0.5068062;0.3701795;0.0654141;0.0702121;0.0008226;0.0007968
2003;24;68;BOL;Bolivia;0.6045198;0.5819209;9865.106;9484.919;0.5061016;0.4871819;0.0237636;0.0228477;0.7165992;0.7051793;0.5113442;0.3225754;0.0686952;0.0663152;0.0006391;0.0009501
2002;24;68;BOL;Bolivia;0.5706215;0.6214689;8161.483;10083.44;0.4849009;0.5281098;0.0228869;0.0282765;0.6996047;0.7254099;0.4494779;0.3440084;0.067059;0.0708511;0.0006203;0.0010192
2001;24;68;BOL;Bolivia;0.5310735;0.5819209;8148.82;9872.775;0.4570428;0.5008023;0.0237358;0.0287574;0.6807692;0.7051793;0.4064364;0.3017365;0.0640899;0.067095;0.00065;0.0010851
2000;24;68;BOL;Bolivia;0.4971751;0.5536723;8773.252;11106.4;0.4361402;0.4857015;0.0247722;0.0313601;0.6654136;0.6914063;0.4013208;0.3358198;0.061811;0.064725;0.0009325;0.0013218
1999;24;68;BOL;Bolivia;0.4971751;0.6271186;8392.353;12421.02;0.452605;0.5708995;0.0267027;0.0395211;0.6654136;0.728395;0.5365778;0.3655149;0.0631074;0.073868;0.0012256;0.0016089
1998;24;68;BOL;Bolivia;0.4971751;0.6440678;7946.191;17342.02;0.4600345;0.5959538;0.026216;0.0572147;0.6654136;0.7375;0.4520343;0.3709343;0.0646463;0.0764492;0.001004;0.0023485
1997;24;68;BOL;Bolivia;0.440678;0.5819209;7875.485;16040.76;0.4168448;0.5504489;0.0257653;0.0524786;0.6413044;0.7051793;0.4241218;0.3744539;0.0603243;0.0706988;0.0009994;0.0020414
1996;24;68;BOL;Bolivia;0.4350283;0.5762712;7590.681;12947.72;0.4310827;0.5710447;0.0257751;0.0439657;0.6389892;0.702381;0.4614793;0.3377056;0.0620514;0.0736228;0.001196;0.0018978
1995;24;68;BOL;Bolivia;0.440678;0.5819209;7520.045;11585.94;0.4653938;0.6145585;0.0269962;0.0415924;0.6413044;0.7051793;0.3947381;0.3073832;0.066655;0.0774323;0.0012746;0.0016222
2010;25;76;BRA;Brazil;0.9943503;0.9435028;1157339;1028950;0.8086006;0.7672517;1.398199;1.24309;0.994382;0.9465241;0.9718804;0.3714657;0.0958494;0.0933247;0.072347;0.0716648
2009;25;76;BRA;Brazil;0.9943503;0.9322034;887229.9;719521.1;0.8254386;0.7738486;1.313608;1.065303;0.994382;0.9365079;0.9593726;0.4903279;0.0970785;0.0940004;0.06521;0.061564
2008;25;76;BRA;Brazil;0.9943503;0.9548023;1154620;979024.8;0.795696;0.7640491;1.302186;1.10415;0.994382;0.9567568;0.8687958;0.4075267;0.0951761;0.0936844;0.0636722;0.0621649
2007;25;76;BRA;Brazil;0.9943503;0.960452;934486.1;643047.1;0.7999273;0.772657;1.231767;0.8476148;0.994382;0.9619565;0.8417037;0.4157553;0.0953033;0.0942942;0.0564051;0.045162
2006;25;76;BRA;Brazil;0.9943503;0.9378531;793942.9;531873.6;0.8112469;0.7651532;1.203133;0.8059955;0.994382;0.9414893;0.7777358;0.4810065;0.0962717;0.0933712;0.055586;0.0407695
2005;25;76;BRA;Brazil;0.9943503;0.9152542;690579.6;424749.3;0.8101639;0.745719;1.203114;0.7399898;0.994382;0.921875;0.8230362;0.5265478;0.096154;0.0914646;0.055753;0.037879
2004;25;76;BRA;Brazil;0.9830508;0.9322034;574516.7;367801.6;0.8200197;0.777605;1.129646;0.7231913;0.9833333;0.9365079;0.7160439;0.5267788;0.0971889;0.0946253;0.0536414;0.0379383
2003;25;76;BRA;Brazil;0.9887006;0.8870056;432479.1;283737.8;0.8277362;0.7425977;1.041777;0.6834818;0.9888268;0.8984771;0.7772104;0.4663669;0.0977698;0.0921297;0.0506993;0.035695
2002;25;76;BRA;Brazil;0.960452;0.8926554;357864;282207.9;0.8161697;0.7585578;1.003541;0.7913823;0.9619565;0.9030612;0.7310651;0.4581066;0.0974741;0.0926595;0.0481477;0.0408229
2001;25;76;BRA;Brazil;0.9548023;0.8983051;346015.2;333387.4;0.8217047;0.7730831;1.007871;0.971089;0.9567568;0.9076923;0.6708099;0.4136293;0.0979739;0.0939511;0.0450747;0.0506766
2000;25;76;BRA;Brazil;0.9435028;0.9096045;328603.7;337095.2;0.827675;0.7979383;0.9278468;0.9518235;0.9465241;0.9170985;0.6046013;0.438157;0.0983862;0.0968002;0.0406508;0.0463469
1999;25;76;BRA;Brazil;0.9491525;0.819209;285433.6;292940.1;0.8640642;0.7457697;0.9081902;0.9320743;0.9516129;0.84689;0.7816256;0.4678203;0.1004114;0.0924771;0.038497;0.0470883
1998;25;76;BRA;Brazil;0.9435028;0.8418079;307410.7;346370.1;0.87302;0.7789221;1.014208;1.142743;0.9465241;0.8634146;0.7436922;0.4482411;0.100443;0.0947537;0.0411199;0.0594733
1997;25;76;BRA;Brazil;0.9378531;0.8870056;314319;369055.6;0.8871312;0.8390338;1.028319;1.207394;0.9414893;0.8984771;0.7577975;0.4467473;0.1015834;0.0987008;0.0419769;0.0645551
1996;25;76;BRA;Brazil;0.9548023;0.7909604;287529.4;316405.6;0.9461426;0.7837868;0.9763431;1.074396;0.9567568;0.8271028;0.7276489;0.4263288;0.1057218;0.0946483;0.0424785;0.0561824
1995;25;76;BRA;Brazil;0.920904;0.7740113;279581.2;307628;0.9725537;0.8174224;1.003669;1.104355;0.9267015;0.8156682;0.5684875;0.3788563;0.1073757;0.0957589;0.0426575;0.057202
2010;26;52;BRB;Barbados;0.5875706;0.6610169;6765.563;14545.24;0.4778094;0.5375356;0.0081736;0.0175723;0.708;0.7468355;0.5302275;0.2775629;0.0636153;0.0702941;0.0001385;0.0008446
2009;26;52;BRB;Barbados;0.5649717;0.7231638;6582.936;15322.65;0.4689991;0.6003189;0.0097465;0.0226863;0.6968504;0.7831858;0.5645744;0.3849576;0.0610963;0.0762073;0.0001606;0.001022
2008;26;52;BRB;Barbados;0.6384181;0.700565;4213.521;13112.91;0.510873;0.560604;0.004752;0.0147888;0.7344398;0.7695652;0.240361;0.2807894;0.0662977;0.0734441;0.0001252;0.0009504
2007;26;52;BRB;Barbados;0.5762712;0.7175141;2585.813;9345.616;0.4635942;0.5772203;0.0034084;0.0123187;0.702381;0.7797357;0.1186131;0.2933201;0.0612262;0.0754505;0.0000784;0.000949
2006;26;52;BRB;Barbados;0.6214689;0.700565;2000.136;10360.79;0.5070293;0.5715603;0.003031;0.0157006;0.7254099;0.7695652;0.1300362;0.3433406;0.0672771;0.0741589;0.0001122;0.0011142
2005;26;52;BRB;Barbados;0.5762712;0.7231638;1831.316;9931.516;0.4695268;0.5892101;0.0031905;0.0173025;0.702381;0.7831858;0.08954;0.3828358;0.0620175;0.0762753;0.0001029;0.0012499
2004;26;52;BRB;Barbados;0.5762712;0.7231638;2770.891;7204.352;0.4807013;0.603233;0.0054483;0.0141656;0.702381;0.7831858;0.2899673;0.3631255;0.0637527;0.0783756;0.000086;0.0010963
2003;26;52;BRB;Barbados;0.5932204;0.7118644;2248.493;7137.556;0.4966417;0.5959702;0.0054163;0.0171933;0.7108434;0.7763158;0.2707804;0.3459646;0.0656411;0.0769241;0.0001077;0.0012094
2002;26;52;BRB;Barbados;0.5706215;0.700565;2254.184;6336.144;0.4849009;0.5953239;0.0063213;0.0177681;0.6996047;0.7695652;0.2312237;0.3504277;0.0630101;0.0762573;0.0001149;0.0012952
2001;26;52;BRB;Barbados;0.59887;0.6892655;2200.465;6867.252;0.5153887;0.5931832;0.0064095;0.0200029;0.7137097;0.762931;0.2179438;0.3278984;0.067007;0.0763359;0.0001437;0.0013204
